Word,Total,monthValue
asian,115,:2:3:1:4:2:2::1:1:2:3:6:1:1::4:2:2:2:4:5:1:3:2:2:1:1::2:1:6::2:1:1:2:1:2:1::2:1:2::1::3:1:1:4:1::::1:::::::2::1::::1:1:1::1::::::2::2:1::::1:1:1:::1::::1::::1:::::::::1:1::1
egyptian,113,1::1:3:::1:1:6:1::3::1:2:3:1:3:2:2:2::::1:1::1::1:2:2:1:1::1::2:3:2::::1:2::1::1:5:1:3:2:2:::::::5::::::1:2:::::::2:3:1:3:2::1:1:1:1::1::2::2::1::1:::3::::::::1:1::::1::1::::2:3:1::1
indonesian,113,1:1:1::2:3:1:1:1:1:1:2:5:2:7:5:1:2:2:4:3:1:1:3:::2::1::2:4:1:3::2:5:4:1:3:2:::3:1::1::1::3:1:::2:2:2:::1:1::::1:::::1:::::::::1::::1:::::::1:2::::::::1:::1::::1:::::2:::::::::::1::1
scottish,111,1:::::2::1:1:::::::1::3::2:2:2:2::::::::1:3::1::::1:1:1:2:1:2:1:2::::1::3:1::1::1:1:2:2:2:4:1:1:::1:2:1:1:1:3::1:1:1::1::4:1:1:3:::3:::2:3::1:::1::1::::1:2:::1::2:::2:1:1:3:3:1::::1:3::1::1:1:1
polish,110,1:1:2:1:1:3:7:1::1:3:2:1:2:1::3::1:5:1:1:1:2:3::2::2:1::1:4::2::1:1:1::1::4:3:4:3:1:1:1:2:2:1:1:2:::1:1::1:1:::2::3:2:1:2:1:2::::::::::::1:::::1:1:::::::::::::::::2:1::1::::::::::::1
world cup,107,:::::::3:::1:::::::1:1:40:10:::2:1::::2:1:1:::::2:2:1:::1:::3::::::::1:2::1:2::1:::1:1:1::1::2:3:4:1:2:2::1:1::::1::::::::::1:::::::::::1::::::::::3:1:::::1
thai,105,1:::2::2:::1::5:5:3:1:4:4:4:4::::2:2:2:1::::1:1:3:11::1:4:2:::1::2::1::1:::5:9:2:2:::1:::1::::1:2:1:1::4:2:::::::::::::::::::::::::::::::::::::::::::2::::::1
iraqis,101,::4:4:2:2:1:1:6:2:2:6:1:2:1:2:7:3:4:2::3:1:1::2:2:2::2:2:1:4::1:3:1:2:1:2:3:3:::1:::1:::::1:1:::::::1::1:::1:::1::1:1:1:::::::::::::1::::::::::::::::::::::::::::::::1
jewish,98,::::3::4:1:2:6:2:3:1:1:2:4:1:::::2:::2:::1::::::1:3:2:2:2:3:2:3:1:3::2::::1:1:2:1:::1:2::1::2:3:1:3:1:1::::1:1::2:::::2::::::::1:2::::1:1:::::1:::::::::::::::1:2::1:1:::::1::::1
olympics,98,::::1:1::1:2::::1:::3:::::::1:1:2:::1::1::::2:2:1:1:2::1:1:2:1::7:7::1:::2:::::::3::2::::1::1::1:1::1:::::1::::::::::::1:5:1:4:6:6:2:4:::2:3:::1:::2:2::::1:::2
