Word,Total,monthValue
syria,157,:::5:11:6:2:1::1:2:6::1:3:4:::1:2:7:1:2:2:4:3:2:1::1:3:3:1:1:2:2:2::4:1::3:2:3:2:1::1::::1:1:::::::1:1::2:1::1:2::::::::::2:3:1:1::1::1:::1:2:1:1:2:3::1:1::3:2:3::::1::1:4:5:::::1::::2::2:3
sweden,154,:2:4:1:4:1:1:2:2:1::1::3:2:8:6:::11::3:1:1:3:2:5::1::1::2:1:3:3:1::1:1:::3:2::2::2:2:::3:::5:3:1:::1:1::1::1:1:3:2:1:1:1:1::4::1::3:1:::1:1:2::::::1:2:3::1:5:::::1:::1:1::2::3::1:::4:::::::::1
greece,150,:1:::2:1:2:2::2:1:1::3:::5:3:4:4:1:2:2:2:2:2:2:1:5:2:3:3:1:3:3::1::2:3:2:2:1:2:1:1:2:1::3:::1:1:3:1::2:3:5::2:2:2:2:4:8:1::1::1:1:1:1:1::2:4:2::::1::1:1:2::::4:::1:::::::::::::::::::1::2
lebanon,149,:1::4:11:5:1::1::1:1:1:2:1:1::::1:28:25:9:2:2:3:2:2:3:2:5:1:1::2:::1:5::1::3::1::1::::2::::::1:::::1:2:1::1:1:1:1::::::::1:::::1::::::::::::::2:::::::1:::2:1
gaza,145,1::4:1:1:1:1::3:6::1:::1:1:1:2:1:3:7:3:2::5:::2:2:1:3:3:2:1:2:::1:7:1:3:1:::1:1:::1:5:16:4:::::1:::2:2::2:::1:1:6:1::1:::::::1:1:::::1::1::::::::::1:5:::::::::::::::1:1::::8:3::1:1:1
los angeles,144,:1:::2:2:1::3:1:2:2:1:1:3::3:::2::2:2::4:1:1:3:1:2:1:5:2:1:1:4:2:2:3:5:3:4:3::::4:4:3:1:3::1:4:1:5:1:1:2::1:1:2::1:3:2:2:1:1::2:1::::2:1:1:1:2:1:::::2::::1:1::::::1::1::::::::1::::1::2::::::1:1::1
asia,141,1:1:4:2:2:5:1::2:1:2:2:3:2:3:3::2:3:3:1:3:2:1:4:1::::1:1:3:2:::4:4:2:4:1:4:2:2::2:2::3:1:2:2:3:1::2:2:1:1:1:2:2:4:4::1:2:1:::2::::::::3:::2:2:::::2::1::1:::1:1:::::::::::::::::::::::1:::::1:1
toronto,137,::::1::2:::3::::::1:2:2::3:1:4:8:13:18:2:4:4:3:4:2:3:3:2:6:4:4:1::2:2:1::::1:1:2::1:1:1:2::1:1::1:1:1::1:::1::1::::1::1:::2::::::1::::::::::::1:::::::::::::::1:2:1:::::4:1
virginia,137,::::2:2:1::3:4:2:::3:2:4:2:2::1::1:1:2:6:::1:1:2:2:3:4:4:1:3:1:4::3::1:1::1:2:1::3:1:1::2:2::2:::::3:1:1:1:3:1:1:1:1:::1::1:1::1:3:1:1::2::::1:1:2:2:2:2:3::2:1:3:1::::2:::::::2:::::1:1::::::1::2
belgium,136,:1:1:2:1:2::4:4:1:1:1:1:2:1::2:::3::3:4:1:3:4:2::6:1:1:2::2:3:2:4:3:1:5:3::2::1::2:1:::6:1:4::2:1:1::2:2:5::2::1:4:2:1:1::1:::2::::1:1:::::::::::::1:::2:::1::1:1:::::1:1:2:::::1:::1::::::::1
switzerland,133,:2:1::1:1:4:2:::3::1:1:2:4:2::1:11:1:2::2:2::2:1:3:1:2:1:2:1:3::3:3::3:2:2:2::2::2:::1:3:2:1:1:2:3:1::1:4:6:2:1:2::1::2:2:1::::::::3:1:1::::::1::::3:::::1:::1:1:2:::::::1::::::1:1::1:::::::1
ontario,132,:1:::1:::1::5:2::1:1:1:1::3:1::1:8:8:2:10:3:5:4:7:4:3:6:2:1:6:2:2:3::3:2:1:1:1:2:2:3::::2:1:4:3:3:1:1:1:::::::1:::::::::::1:::::1:::::::::::::1:1:::::::::::::::1
new south wales,131,::1:2::1:2:::2:::4:9:1:4:5:2:10:11:1:2:::::2::2:1:3:3::5:3::::::1::1:::2:1:1:1:3:2:2::::1:1::2:::::1:1:1::::::::1::::::::::::1::1:1:2:1::9:2:3::::1:1:1:1::1:::2:::2:1:1:1::::1
gaza strip,130,1::5:2:1:1:1:1:4:5:1::::3:1:::2:2:5:1:::3::::1::2:4:1:1:2:1:1:1:5:1:4:1:::2:2:::1:4:12:5:1::2:::::2:2::2:::1:1:3:1::::::::::1:::1::::::::::::::1:2:1:::::::::1::::1:2:::::9:3::2:1
north korea,130,1:::2::3:3:2:1::1:2:::3:3:::1:1:3:4::9:1:3:3:3:1::2:6:2:1:3:3::2:2:1::1::2:4:1:1::::1::3::1:4:2:1:::3:1:3::1:2:2:1:2:1:::3:3::::::1::::::1:1::1:2:1:::::::1::::1::::1:1:1::1::1:::1
chile,126,4:3:4:1:3:1:2:::::1:1:3:2:1:1::1::1:1::::1:::1:1:::1:::2:3::::2::1:1:1:1:::1:1:1:1::::1:::::::1:4:7:10:8:3:2::7:3:3:3:2::4::2::2::1::2::2:::1::::1::::2:::::::::1:::1::::2::1:::::::::1
